"年月","業者名稱","數據傳輸量（GBytes）","用戶數","平均每一用戶數據傳輸量（GBytes）"
"112/8","遠傳電信股份有限公司","281,812,033","7,206,465 ","39.11 "
"112/7","台灣之星股份有限公司","88,726,200","2,537,892 ","34.96 "
"112/7","遠傳電信股份有限公司","276,514,234","7,189,424 ","38.46 "
"112/7","亞太電信股份有限公司","39,133,979","2,021,814 ","19.36 "
"112/7","中華電信股份有限公司","324,424,204","11,145,205 ","29.11 "
"112/7","台灣大哥大股份有限公司","248,860,700","7,217,167 ","34.48 "
"112/6","台灣大哥大股份有限公司","237,666,166","7,220,840 ","32.91 "
"112/6","中華電信股份有限公司","330,943,194","11,150,505 ","29.68 "
"112/6","台灣之星股份有限公司","84,669,080","2,553,130 ","33.16 "
"112/6","遠傳電信股份有限公司","261,909,530","7,183,227 ","36.46 "
"112/6","亞太電信股份有限公司","37,497,257","2,038,256 ","18.40 "
"112/5","遠傳電信股份有限公司","267,169,175","7,184,465 ","37.19 "
"112/5","台灣大哥大股份有限公司","241,992,909","7,227,294 ","33.48 "
"112/5","台灣之星股份有限公司","86,287,629","2,578,581 ","33.46 "
"112/5","中華電信股份有限公司","303,820,244","11,144,676 ","27.26 "
"112/5","亞太電信股份有限公司","38,386,609","2,047,221 ","18.75 "
"112/4","中華電信股份有限公司","324,876,800","11,126,054 ","29.20 "
"112/4","遠傳電信股份有限公司","260,101,368","7,180,919 ","36.22 "
"112/4","台灣大哥大股份有限公司","235,666,673","7,230,906 ","32.59 "
"112/4","台灣之星股份有限公司","85,269,675","2,618,396 ","32.57 "
"112/4","亞太電信股份有限公司","37,624,170","2,056,792 ","18.29 "
"112/3","亞太電信股份有限公司","38,209,096","2,056,244 ","18.58 "
"112/3","遠傳電信股份有限公司","262,908,837","7,171,655 ","36.66 "
"112/3","台灣之星股份有限公司","86,284,777","2,635,636 ","32.74 "
"112/3","中華電信股份有限公司","291,426,030","11,086,481 ","26.29 "
"112/3","台灣大哥大股份有限公司","238,329,395","7,217,249 ","33.02 "
"112/2","中華電信股份有限公司","313,641,795","11,072,207 ","28.33 "
"112/2","台灣之星股份有限公司","79,095,706","2,640,031 ","29.96 "
"112/2","遠傳電信股份有限公司","237,883,484","7,164,952 ","33.20 "
"112/2","亞太電信股份有限公司","35,198,078","2,067,879 ","17.02 "
"112/2","台灣大哥大股份有限公司","214,904,729","7,190,090 ","29.89 "
"112/1","遠傳電信股份有限公司","258,483,143","7,146,799 ","36.17 "
"112/1","台灣大哥大股份有限公司","234,303,749","7,183,132 ","32.62 "
"112/1","亞太電信股份有限公司","38,447,109","2,068,722 ","18.58 "
"112/1","台灣之星股份有限公司","86,831,584","2,652,960 ","32.73 "
"112/1","中華電信股份有限公司","310,759,859","11,060,628 ","28.10 "
"111/12","中華電信股份有限公司","306,236,536","11,038,775 ","27.74 "
"111/12","台灣之星股份有限公司","85,487,176","2,679,406 ","31.91 "
"111/12","台灣大哥大股份有限公司","230,408,384","7,211,895 ","31.95 "
"111/12","亞太電信股份有限公司","37,890,614","2,072,465 ","18.28 "
"111/12","遠傳電信股份有限公司","254,579,532","7,144,954 ","35.63 "
"111/11","台灣之星股份有限公司","65,174,513","2,682,094 ","24.30 "
"111/11","亞太電信股份有限公司","37,363,080","2,080,961 ","17.95 "
"111/11","遠傳電信股份有限公司","249,668,769","7,133,714 ","35.00 "
"111/11","中華電信股份有限公司","313,964,458","11,001,189 ","28.54 "
"111/11","台灣大哥大股份有限公司","226,868,320","7,179,881 ","31.60 "
"111/10","中華電信股份有限公司","302,513,108","10,954,251 ","27.62 "
"111/10","台灣之星股份有限公司","67,645,351","2,677,060 ","25.27 "
"111/10","亞太電信股份有限公司","38,438,756","2,090,777 ","18.38 "
"111/10","台灣大哥大股份有限公司","231,846,134","7,148,991 ","32.43 "
"111/10","遠傳電信股份有限公司","256,424,362","7,121,450 ","36.01 "
"111/9","遠傳電信股份有限公司","245,353,059","7,112,217 ","34.50 "
"111/9","亞太電信股份有限公司","36,738,002","2,091,340 ","17.57 "
"111/9","台灣之星股份有限公司","66,578,459","2,675,171 ","24.89 "
"111/9","中華電信股份有限公司","309,280,899","10,930,209 ","28.30 "
"111/9","台灣大哥大股份有限公司","222,762,815","7,132,803 ","31.23 "
"111/8","中華電信股份有限公司"," 295,244,446 "," 10,881,983 ","27.13 "
"111/8","台灣之星股份有限公司"," 70,370,273 "," 2,680,867 ","26.25 "
"111/8","亞太電信股份有限公司"," 38,177,449 "," 2,097,918 ","18.20 "
"111/8","遠傳電信股份有限公司"," 252,632,036 "," 7,093,803 ","35.61 "
"111/8","台灣大哥大股份有限公司"," 229,086,454 "," 7,118,267 ","32.18 "
"111/7","遠傳電信股份有限公司","251,974,878"," 7,079,484 ","35.59 "
"111/7","台灣大哥大股份有限公司","228,670,019"," 7,111,278 ","32.16 "
"111/7","亞太電信股份有限公司","38,556,450"," 2,097,794 ","18.38 "
"111/7","中華電信股份有限公司","305,979,691"," 10,837,878 ","28.23 "
"111/7","台灣之星股份有限公司","70,404,096"," 2,676,083 ","26.31 "
"111/6","中華電信股份有限公司","322,695,530"," 10,801,976 ","29.87 "
"111/6","台灣之星股份有限公司","71,619,409"," 2,668,770 ","26.84 "
"111/6","亞太電信股份有限公司","39,066,879"," 2,099,076 ","18.61 "
"111/6","遠傳電信股份有限公司","251,264,131"," 7,071,491 ","35.53 "
"111/6","台灣大哥大股份有限公司","229,223,472"," 7,111,105 ","32.23 "
"111/5","台灣之星股份有限公司","75,182,387"," 2,644,909 ","28.43 "
"111/5","遠傳電信股份有限公司","260,128,579"," 7,070,621 ","36.79 "
"111/5","中華電信股份有限公司","295,265,380"," 10,710,128 ","27.57 "
"111/5","台灣大哥大股份有限公司","239,622,594"," 7,102,827 ","33.74 "
"111/5","亞太電信股份有限公司","41,517,289"," 2,097,758 ","19.79 "
"111/4","中華電信股份有限公司","279,954,777"," 10,674,545 ","26.23 "
"111/4","台灣大哥大股份有限公司","215,616,348"," 7,103,842 ","30.35 "
"111/4","遠傳電信股份有限公司","233,451,395"," 7,065,192 ","33.04 "
"111/4","亞太電信股份有限公司","36,649,506"," 2,096,964 ","17.48 "
"111/4","台灣之星股份有限公司","69,168,339"," 2,647,426 ","26.13 "
"111/3","遠傳電信股份有限公司","231,199,538"," 7,059,335 ","32.75 "
"111/3","台灣大哥大股份有限公司","212,668,903"," 7,097,554 ","29.96 "
"111/3","中華電信股份有限公司","248,986,479"," 10,643,733 ","23.39 "
"111/3","台灣之星股份有限公司","68,922,106"," 2,641,160 ","26.10 "
"111/3","亞太電信股份有限公司","35,638,290"," 2,094,958 ","17.01 "
"111/2","中華電信股份有限公司","282,701,765"," 10,631,404 ","26.59 "
"111/2","台灣之星股份有限公司","65,295,256"," 2,651,348 ","24.63 "
"111/2","台灣大哥大股份有限公司","195,023,096"," 7,090,459 ","27.51 "
"111/2","遠傳電信股份有限公司","212,546,344"," 7,057,214 ","30.12 "
"111/2","亞太電信股份有限公司","32,798,385"," 2,090,379 ","15.69 "
"111/1","遠傳電信股份有限公司","229,274,365"," 7,059,572 ","32.48 "
"111/1","台灣大哥大股份有限公司","210,723,617"," 7,080,074 ","29.76 "
"111/1","亞太電信股份有限公司","35,252,733"," 2,089,036 ","16.88 "
"111/1","中華電信股份有限公司","273,414,565"," 10,659,510 ","25.65 "
"111/1","台灣之星股份有限公司","71,790,076"," 2,678,318 ","26.80 "
"110/12","中華電信股份有限公司","264,388,684"," 10,668,972 ","24.78 "
"110/12","台灣大哥大股份有限公司","204,569,446"," 7,094,903 ","28.83 "
"110/12","遠傳電信股份有限公司","223,621,188"," 7,057,355 ","31.69 "
"110/12","台灣之星股份有限公司","70,831,146"," 2,674,027 ","26.49 "
"110/12","亞太電信股份有限公司","33,888,020"," 2,084,890 ","16.25 "
"110/11","遠傳電信股份有限公司","215,744,750"," 7,055,149 ","30.58 "
"110/11","亞太電信股份有限公司","32,300,017"," 2,080,908 ","15.52 "
"110/11","台灣之星股份有限公司","69,725,795"," 2,664,121 ","26.17 "
"110/11","台灣大哥大股份有限公司","197,984,807"," 7,108,370 ","27.85 "
"110/11","中華電信股份有限公司","270,718,416"," 10,676,462 ","25.36 "
"110/10","台灣之星股份有限公司","73,667,332"," 2,650,672 ","27.79 "
"110/10","亞太電信股份有限公司","33,333,981"," 2,078,088 ","16.04 "
"110/10","中華電信股份有限公司","262,017,863"," 10,670,888 ","24.55 "
"110/10","台灣大哥大股份有限公司","204,719,647"," 7,111,276 ","28.79 "
"110/10","遠傳電信股份有限公司","221,872,233"," 7,053,052 ","31.46 "
"110/9","台灣大哥大股份有限公司","198,156,992"," 7,114,032 ","27.85 "
"110/9","遠傳電信股份有限公司","213,933,901"," 7,050,346 ","30.34 "
"110/9","亞太電信股份有限公司","31,716,088"," 2,072,479 ","15.30 "
"110/9","中華電信股份有限公司","273,657,632"," 10,654,325 ","25.69 "
"110/9","台灣之星股份有限公司","70,404,980"," 2,653,175 ","26.54 "
"110/8","中華電信股份有限公司","285,274,336"," 10,637,883 ","26.82"
"110/8","台灣之星股份有限公司","77,928,556"," 2,634,795 ","29.58 "
"110/8","亞太電信股份有限公司","34,820,261"," 2,065,617 ","16.86 "
"110/8","台灣大哥大股份有限公司","210,625,954"," 7,113,055 ","29.61 "
"110/8","遠傳電信股份有限公司","226,478,569"," 7,052,685 ","32.11 "
"110/7","台灣之星股份有限公司","90,010,298"," 2,623,028 ","34.32 "
"110/7","亞太電信股份有限公司","36,017,101"," 2,068,611 ","17.41 "
"110/7","台灣大哥大股份有限公司","220,500,928"," 7,125,221 ","30.95 "
"110/7","遠傳電信股份有限公司","238,912,157"," 7,047,868 ","33.90 "
"110/7","中華電信股份有限公司","285,714,193"," 10,630,019 ","26.88 "
"110/6","中華電信股份有限公司"," 280,360,965 ","10,634,125","26.36 "
"110/6","台灣大哥大股份有限公司"," 221,975,012 "," 7,134,006 ","31.12 "
"110/6","遠傳電信股份有限公司","240,128,373","7,060,639","34.01 "
"110/6","台灣之星股份有限公司"," 87,146,241 "," 2,620,558 ","33.25 "
"110/6","亞太電信股份有限公司"," 35,450,969 "," 2,063,292 ","17.18 "
"110/5","遠傳電信股份有限公司","226,172,074 "," 7,071,216","31.98 "
"110/5","台灣大哥大股份有限公司","210,621,869 "," 7,153,402 ","29.44 "
"110/5","台灣之星股份有限公司","83,409,481 "," 2,620,514 ","31.83 "
"110/5","亞太電信股份有限公司","32,742,298 "," 2,060,051 ","15.89 "
"110/5","中華電信股份有限公司","245,128,175 "," 10,631,172 ","23.06 "
"110/4","中華電信股份有限公司","246,949,833 ","10,565,045","23.37 "
"110/4","遠傳電信股份有限公司","201,695,524 ","7,075,961","28.50 "
"110/4","台灣之星股份有限公司","73,685,381 ","2,608,562","28.25 "
"110/4","亞太電信股份有限公司","27,738,560 ","2,054,511","13.50 "
"110/4","台灣大哥大股份有限公司","188,602,711 ","7,106,014","26.54 "
"110/3","遠傳電信股份有限公司","205,023,052 ","7,066,706","29.01 "
"110/3","台灣大哥大股份有限公司","190,597,327 ","7,094,631","26.87 "
"110/3","中華電信股份有限公司","220,494,733 ","10,565,941","20.87 "
"110/3","亞太電信股份有限公司","28,751,968 ","2,049,743","14.03 "
"110/3","台灣之星股份有限公司","74,473,093 ","2,597,347","28.67 "
"110/2","中華電信股份有限公司","237,762,625 ","10,550,006","22.54 "
"110/2","台灣之星股份有限公司","69,378,063 ","2,587,055","26.82 "
"110/2","遠傳電信股份有限公司","190,304,658 ","7,060,688","26.95 "
"110/2","亞太電信股份有限公司","26,128,631 ","2,045,775","12.77 "
"110/2","台灣大哥大股份有限公司","172,353,128 ","7,104,727","24.26 "
"110/1","遠傳電信股份有限公司","195,821,349 ","7,064,440 ","27.72 "
"110/1","台灣大哥大股份有限公司","184,754,050 ","7,115,023 ","25.97 "
"110/1","台灣之星股份有限公司","74,239,453 ","2,549,027 ","29.12 "
"110/1","中華電信股份有限公司","236,072,791 ","10,546,350 ","22.38 "
"110/1","亞太電信股份有限公司","26,537,773 ","2,041,783 ","13.00 "
"109/12","中華電信股份有限公司","230,303,304 ","10,527,239 ","21.88 "
"109/12","台灣大哥大股份有限公司","184,405,885 ","7,124,929 ","25.88 "
"109/12","遠傳電信股份有限公司","195,000,837 ","7,069,489 ","27.58 "
"109/12","台灣之星股份有限公司","72,486,318 ","2,541,331 ","28.52 "
"109/12","亞太電信股份有限公司","25,271,721 ","2,025,843 ","12.47 "
"109/11","遠傳電信股份有限公司","189,253,223 ","7,087,424 ","26.70 "
"109/11","亞太電信股份有限公司","24,888,852 ","2,033,157 ","12.24 "
"109/11","台灣之星股份有限公司","69,281,773 ","2,503,486 ","27.67 "
"109/11","中華電信股份有限公司","232,875,420 ","10,535,492 ","22.10 "
"109/11","台灣大哥大股份有限公司","179,520,286 ","7,112,732 ","25.24 "
"109/10","中華電信股份有限公司","223,162,274 ","10,572,834 ","21.11 "
"109/10","遠傳電信股份有限公司","191,287,688 ","7,067,975 ","27.06 "
"109/10","台灣之星股份有限公司","67,285,334 ","2,463,832 ","27.31 "
"109/10","台灣大哥大股份有限公司","174,638,050 ","7,111,067 ","24.56 "
"109/10","亞太電信股份有限公司","25,337,290 ","2,036,402 ","12.44 "
"109/9","台灣之星股份有限公司","68,550,576 ","2,438,502 ","28.11 "
"109/9","亞太電信股份有限公司","24,104,213 ","2,036,092 ","11.84 "
"109/9","台灣大哥大股份有限公司","174,679,156 ","7,096,980 ","24.61 "
"109/9","中華電信股份有限公司","233,391,160 ","10,576,788 ","22.07 "
"109/9","遠傳電信股份有限公司","182,699,752 ","7,058,438 ","25.88 "
"109/8","中華電信股份有限公司","226,478,228 ","10,555,342 ","21.46 "
"109/8","遠傳電信股份有限公司","193,979,737 ","7,050,283 ","27.51 "
"109/8","亞太電信股份有限公司","26,366,630 ","2,035,230 ","12.96 "
"109/8","台灣大哥大股份有限公司","184,993,310 ","7,089,905 ","26.09 "
"109/8","台灣之星股份有限公司","69,434,409 ","2,425,267 ","28.63 "
"109/7","台灣大哥大股份有限公司","177,869,705 ","7,096,154 ","25.07 "
"109/7","遠傳電信股份有限公司","184,466,056 ","7,045,779 ","26.18 "
"109/7","亞太電信股份有限公司","25,120,068 ","2,032,720 ","12.36 "
"109/7","中華電信股份有限公司","206,262,089 ","10,526,008 ","19.60 "
"109/7","台灣之星股份有限公司","67,630,150 ","2,423,875 ","27.90 "
"109/6","中華電信股份有限公司","206,329,608 ","10,495,207 ","19.66 "
"109/6","遠傳電信股份有限公司","169,567,621 ","7,051,965 ","24.05 "
"109/6","台灣之星股份有限公司","59,761,783 ","2,401,717 ","24.88 "
"109/6","亞太電信股份有限公司","23,336,903 ","2,031,855 ","11.49 "
"109/6","台灣大哥大股份有限公司","164,305,948 ","7,094,514 ","23.16 "
"109/5","遠傳電信股份有限公司","175,502,999 ","7,052,558 ","24.89 "
"109/5","台灣大哥大股份有限公司","169,683,587 ","7,092,196 ","23.93 "
"109/5","中華電信股份有限公司","199,453,542 ","10,494,008 ","19.01 "
"109/5","台灣之星股份有限公司","62,478,742 ","2,392,431 ","26.12 "
"109/5","亞太電信股份有限公司","24,278,091 ","2,031,671 ","11.95 "
"109/4","中華電信股份有限公司","212,670,142 ","10,498,122 ","20.26 "
"109/4","遠傳電信股份有限公司","169,638,914 ","7,072,304 ","23.99 "
"109/4","台灣之星股份有限公司","61,602,861 ","2,370,759 ","25.98 "
"109/4","亞太電信股份有限公司","23,467,854 ","2,033,249 ","11.54 "
"109/4","台灣大哥大股份有限公司","164,276,022 ","7,088,063 ","23.18 "
"109/3","遠傳電信股份有限公司","180,809,685 ","7,080,576 ","25.54 "
"109/3","中華電信股份有限公司","197,957,429 ","11,014,668 ","17.97 "
"109/3","台灣之星股份有限公司","64,839,572 ","2,364,234 ","27.43 "
"109/3","亞太電信股份有限公司","24,331,212 ","2,032,180 ","11.97 "
"109/3","台灣大哥大股份有限公司","174,620,422 ","7,092,127 ","24.62 "
"109/2","亞太電信股份有限公司","22,922,754 ","2,031,957 ","11.28 "
"109/2","遠傳電信股份有限公司","168,976,731 ","7,078,397 ","23.87 "
"109/2","台灣之星股份有限公司","62,212,232 ","2,353,986 ","26.43 "
"109/2","台灣大哥大股份有限公司","161,793,712 ","7,073,157 ","22.87 "
"109/2","中華電信股份有限公司","199,574,154 ","10,986,270 ","18.17 "
"109/1","中華電信股份有限公司","194,003,236 ","10,652,442 ","18.21 "
"109/1","遠傳電信股份有限公司","170,347,080 ","7,083,689 ","24.05 "
"109/1","台灣大哥大股份有限公司","163,392,770 ","7,088,120 ","23.05 "
"109/1","台灣之星股份有限公司","61,958,087 ","2,322,449 ","26.68 "
"109/1","亞太電信股份有限公司","22,738,713 ","2,031,953 ","11.19 "
"108/12","亞太電信股份有限公司","21,956,303 ","2,031,449 ","10.81 "
"108/12","台灣之星股份有限公司","58,966,210 ","2,308,250 ","25.55 "
"108/12","遠傳電信股份有限公司","165,374,842 ","7,092,573 ","23.32 "
"108/12","台灣大哥大股份有限公司","159,848,700 ","7,126,817 ","22.43 "
"108/12","中華電信股份有限公司","184,395,592 ","10,649,391 ","17.32 "
"108/11","中華電信股份有限公司","186,868,092 ","10,666,410 ","17.52 "
"108/11","亞太電信股份有限公司","21,125,949 ","2,028,949 ","10.41 "
"108/11","遠傳電信股份有限公司","158,455,106 ","7,109,883 ","22.29 "
"108/11","台灣大哥大股份有限公司","154,094,088 ","7,153,351 ","21.54 "
"108/11","台灣之星股份有限公司","55,020,603 ","2,281,981 ","24.11 "
"108/10","遠傳電信股份有限公司","160,391,152 ","7,137,048 ","22.47 "
"108/10","亞太電信股份有限公司","21,463,698 ","2,029,034 ","10.58 "
"108/10","中華電信股份有限公司","178,325,370 ","10,659,119 ","16.73 "
"108/10","台灣之星股份有限公司","53,858,339 ","2,265,345 ","23.77 "
"108/10","台灣大哥大股份有限公司","156,422,572 ","7,174,207 ","21.80 "
"108/9","台灣大哥大股份有限公司","150,331,803 ","7,214,846 ","20.84 "
"108/9","遠傳電信股份有限公司","153,960,345 ","7,156,795 ","21.51 "
"108/9","中華電信股份有限公司","185,314,927 ","10,640,182 ","17.42 "
"108/9","台灣之星股份有限公司","51,549,146 ","2,260,902 ","22.80 "
"108/9","亞太電信股份有限公司","20,401,391 ","2,033,148 ","10.03 "
"108/8","遠傳電信股份有限公司","167,961,459 ","7,171,995 ","23.42 "
"108/8","台灣之星股份有限公司","55,837,063 ","2,250,527 ","24.81 "
"108/8","中華電信股份有限公司","182,658,715 ","10,613,121 ","17.21 "
"108/8","台灣大哥大股份有限公司","161,393,415 ","7,224,581 ","22.34 "
"108/8","亞太電信股份有限公司","22,065,416 ","2,034,746 ","10.84 "
"108/7","遠傳電信股份有限公司","163,794,560 ","7,180,645 ","22.81 "
"108/7","中華電信股份有限公司","167,867,525 ","10,609,273 ","15.82 "
"108/7","台灣大哥大股份有限公司","158,543,775 ","7,224,607 ","21.94 "
"108/7","亞太電信股份有限公司","21,365,673 ","2,032,480 ","10.51 "
"108/7","台灣之星股份有限公司","55,604,623 ","2,230,412 ","24.93 "
"108/6","台灣大哥大股份有限公司","143,538,871 ","7,221,752 ","19.88 "
"108/6","中華電信股份有限公司","161,049,978 ","10,597,311 ","15.20 "
"108/6","遠傳電信股份有限公司","147,938,739 ","7,177,690 ","20.61 "
"108/6","台灣之星股份有限公司","50,784,236 ","2,223,797 ","22.84 "
"108/6","亞太電信股份有限公司","19,395,742 ","2,029,655 ","9.56 "
"108/5","中華電信股份有限公司","151,640,175 ","10,597,742 ","14.31 "
"108/5","台灣大哥大股份有限公司","137,836,967 ","7,249,693 ","19.01 "
"108/5","遠傳電信股份有限公司","141,858,096 ","7,169,501 ","19.79 "
"108/5","台灣之星股份有限公司","48,923,384 ","2,214,094 ","22.10 "
"108/5","亞太電信股份有限公司","18,383,000 ","2,024,365 ","9.08 "
"108/4","台灣大哥大股份有限公司","131,568,377 ","7,251,281 ","18.14 "
"108/4","中華電信股份有限公司","152,243,495 ","10,577,387 ","14.39 "
"108/4","台灣之星股份有限公司","47,167,146 ","2,205,400 ","21.39 "
"108/4","遠傳電信股份有限公司","134,966,301 ","7,175,348 ","18.81 "
"108/4","亞太電信股份有限公司","17,172,970 ","2,022,848 ","8.49 "
"108/3","亞太電信股份有限公司","17,301,732 ","2,017,051 ","8.58 "
"108/3","台灣之星股份有限公司","48,272,008 ","2,190,038 ","22.04 "
"108/3","中華電信股份有限公司","136,729,042 ","10,586,565 ","12.92 "
"108/3","遠傳電信股份有限公司","129,632,942 ","7,153,855 ","18.12 "
"108/3","台灣大哥大股份有限公司","132,412,555 ","7,242,212 ","18.28 "
"108/2","台灣之星股份有限公司","43,842,890 ","2,180,329 ","20.11 "
"108/2","中華電信股份有限公司","147,661,841 ","10,580,711 ","13.96 "
"108/2","遠傳電信股份有限公司","108,167,484 ","7,138,461 ","15.15 "
"108/2","台灣大哥大股份有限公司","119,780,215 ","7,235,144 ","16.56 "
"108/2","亞太電信股份有限公司","15,523,956 ","2,008,064 ","7.73 "
"108/1","遠傳電信股份有限公司","129,620,574 ","7,080,510 ","18.31 "
"108/1","亞太電信股份有限公司","16,755,332 ","2,015,593 ","8.31 "
"108/1","中華電信股份有限公司","143,897,988 ","10,584,695  ","13.59 "
"108/1","台灣之星股份有限公司","53,018,996 ","2,174,280 ","24.38 "
"108/1","台灣大哥大股份有限公司","130,203,741 ","7,206,931 ","18.07 "
"107/12","中華電信","140,665,379 ","9,464,139 ","14.86 "
"107/12","台灣之星","47,499,623 ","2,162,606 ","21.96 "
"107/12","台灣大哥大","126,847,335 ","7,039,352 ","18.02 "
"107/12","遠傳電信","129,386,935 ","6,975,255 ","18.55 "
"107/12","亞太電信","16,078,818 ","2,056,823 ","7.82 "
"107/12","","460,478,090 ","27,698,175 ","16.62 "
"107/11","","452,372,515 ","27,257,418 ","16.60 "
"107/10","","451,350,760 ","26,899,758 ","16.78 "
"107/9","","446,430,241 ","26,421,183 ","16.90 "
"107/8","","460,967,726 ","25,971,773 ","17.75 "
"107/7","","439,614,783 ","25,531,633 ","17.22 "
"107/6","","406,695,478 ","25,176,115 ","16.15 "
"107/5","","389,294,280 ","24,789,765 ","15.70 "
